organization,contact,title,email,vertical,notes
LITTLE FLOWER MANOR INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Darby, PA; annual revenue $17,224,170; source LMS score 44/100."
TECH IMPACT,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $17,207,788; source LMS score 44/100."
SAINT MARYS HOME OF ERIE,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Erie, PA; annual revenue $17,205,609; source LMS score 44/100."
SADLER HEALTH CENTER CORPORATION,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Carlisle, PA; annual revenue $16,931,404; source LMS score 44/100."
MASTERY CHARTER SCHOOL - SMEDLEY ELEMENTARY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $16,690,981; source LMS score 44/100."
NORTHWOOD ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $16,690,771; source LMS score 44/100."
CAMPHILL SPECIAL SCHOOL INC,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Glenmoore, PA; annual revenue $16,590,730; source LMS score 44/100."
DUBOIS CONTINUUM OF CARE COMMUNITY INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Dubois, PA; annual revenue $16,490,661; source LMS score 44/100."
EDSYS INC,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $16,431,801; source LMS score 44/100."
KEYSTONE ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $16,220,087; source LMS score 44/100."
EUGENIO MARIA DEHOSTOS CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $16,087,936; source LMS score 44/100."
MASTERY CHARTER SCHOOL - HARRITY ELEMENTARY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $16,028,847; source LMS score 44/100."
COMMUNITY VOLUNTEERS IN MEDICINE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: West Chester, PA; annual revenue $15,883,812; source LMS score 44/100."
SQUIRREL HILL HEALTH CENTER,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $15,692,497; source LMS score 44/100."
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $15,688,718; source LMS score 44/100."
CHESTER CHARTER SCHOLARS ACADEMY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Chester, PA; annual revenue $15,602,732; source LMS score 44/100."
MENTAL HEALTH PARTNERSHIPS,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $15,567,438; source LMS score 44/100."
O S JOHNSON SCHOOL OF TECHNOLOGY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Scranton, PA; annual revenue $15,543,781; source LMS score 44/100."
UNIVERSAL CREIGHTON CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $15,532,718; source LMS score 44/100."
EAST LIBERTY FAMILY HEALTH CARE CENTER INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $15,380,229; source LMS score 44/100."
VMSC EMERGENCY MEDICAL SERVICES,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Lansdale, PA; annual revenue $15,274,810; source LMS score 44/100."
GREEN WOODS CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $15,251,484; source LMS score 44/100."
RUSSELL BYERS CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $15,236,220; source LMS score 44/100."
THE NEIGHBORHOOD ACADEMY,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Pittsburgh, PA; annual revenue $15,207,178; source LMS score 44/100."
GROVER CLEVELAND-MASTERY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $15,081,516; source LMS score 44/100."
FRANCIS D PASTORIUS-MASTERY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,872,349; source LMS score 44/100."
LEHIGH VALLEY HEALTH NETWORK EMERGENCY MEDICAL SERVICES,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Allentown, PA; annual revenue $14,866,736; source LMS score 44/100."
GLOBAL LEADERSHIP ACADEMY CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,674,156; source LMS score 44/100."
PRIMARY CARE HEALTH SERVICES,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $14,668,851; source LMS score 44/100."
KISKIMINETAS SPRINGS SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Saltsburg, PA; annual revenue $14,643,631; source LMS score 44/100."
EAGLES AUTISM CHALLENGE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Philadelphia, PA; annual revenue $14,457,053; source LMS score 44/100."
SIMPSON HOUSE INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Bala Cynwyd, PA; annual revenue $14,414,617; source LMS score 44/100."
PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER HIGH SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,275,566; source LMS score 44/100."
COMMUNITY LIVING AND SUPPORT SERVICES INC,,,,Healthcare,"assets >$10M; revenue >$5M; target segment. Likely motion: clinical education or compliance learning; CE/CME fit-check. Brightspace angle: Compliance, clinical education, CE/CME-style learning, and reporting by role or site. Context: Pittsburgh, PA; annual revenue $14,236,188; source LMS score 44/100."
PHILADELPHIA HEBREW PUBLIC CHARTER SCHOOL,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,133,956; source LMS score 44/100."
INTERNATIONAL EDUCATION AND COMMUNITY INITIATIVES,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,102,687; source LMS score 44/100."
HEIGHTS PHILADELPHIA,,,,Education,"assets >$10M; revenue >$5M; target segment. Likely motion: learner programs and continuing education. Brightspace angle: Program delivery, continuing education, and learner engagement/reporting. Context: Philadelphia, PA; annual revenue $14,074,117; source LMS score 44/100."
